class_id,subclass_id,class,subclass,level,name,description,grants_spell_id,attack_bonus_ability,attack_bonus_formula,save_dc_ability,save_dc_formula
barbarian,core,Barbarian,Core,1,Rage,"Bonus Action; self; requires not wearing Heavy Armor. While raging: Advantage on Strength checks and Strength saving throws; Resistance to bludgeoning/piercing/slashing damage; you can’t cast spells or maintain Concentration. Rage Damage: when you hit with a Strength-based weapon attack or Unarmed Strike, add +2 damage (Barbarian levels 1–8), +3 (levels 9–15), or +4 (levels 16–20). Duration: lasts until the end of your next turn; ends early if you don Heavy Armor or have the Incapacitated condition. To keep raging past your next turn, on that next turn do at least one of: make an attack roll against an enemy, force an enemy to make a saving throw, or take a Bonus Action to extend; each extension carries duration to the end of your following turn. Max duration 10 minutes. Uses: 2 rages at level 1; 3 at level 3; 4 at level 6; 5 at level 12; 6 at level 17. Regain 1 expended use on a Short Rest; regain all on a Long Rest.",,,,,
barbarian,core,Barbarian,Core,1,Unarmored Defense,"Passive; while not wearing any armor, your AC is 10 + Dex modifier + Con modifier. You can still use a Shield and benefit.",,,,,
barbarian,core,Barbarian,Core,1,Weapon Mastery,"Passive; you can use the mastery properties of two kinds of Simple or Martial melee weapons you choose. Whenever you finish a Long Rest, you can change one of those chosen weapon kinds. Number of weapon kinds you can master: 2 (Barbarian levels 1–3), 3 (levels 4–9), 4 (levels 10–20).",,,,,
barbarian,core,Barbarian,Core,11,Relentless Rage,"Trigger (no action required); if you drop to 0 HP while your Rage is active and don’t die outright, make a DC 10 Constitution save. On a success, your HP becomes twice your Barbarian level instead of 0. Each time you use this feature after the first (before you rest), the DC increases by 5; the DC resets to 10 when you finish a Short or Long Rest.",,,,,
barbarian,core,Barbarian,Core,13,Improved Brutal Strike,"Passive upgrade; you add new Brutal Strike effect options: (1) Staggering Blow—target has Disadvantage on its next saving throw and can’t make Opportunity Attacks until the start of your next turn; (2) Sundering Blow—before the start of your next turn, the next attack roll made by another creature against the target gains +5 (only one Sundering bonus can apply to a roll).",,,,,
barbarian,core,Barbarian,Core,15,Persistent Rage,"Passive + trigger; your Rage can last the full 10 minutes without needing to extend it round-by-round. It still ends early if you don Heavy Armor or have the Unconscious condition. In addition, when you roll Initiative you can regain all expended Rage uses; once you do, you can’t do so again until you finish a Long Rest.",,,,,
barbarian,core,Barbarian,Core,17,Improved Brutal Strike,"Passive upgrade; your Brutal Strike extra damage becomes 2d10, and when you use Brutal Strike you can apply two different Brutal Strike effects to the same hit.",,,,,
barbarian,core,Barbarian,Core,18,Indomitable Might,"Passive; if your total for a Strength check or a Strength saving throw is less than your Strength score, you can use your Strength score in place of the total.",,,,,
barbarian,core,Barbarian,Core,19,Epic Boon,"Passive; you gain an Epic Boon feat (or another feat you qualify for), representing endgame-level power.",,,,,
barbarian,core,Barbarian,Core,2,Danger Sense,Passive; you have Advantage on Dexterity saving throws unless you have the Incapacitated condition. (This is your ‘sixth sense’ for dodging hazards.),,,,,
barbarian,core,Barbarian,Core,2,Reckless Attack,"No action; when you make your first attack roll on your turn, you can choose to attack recklessly. Effect: you have Advantage on attack rolls using Strength until the start of your next turn, and attack rolls against you have Advantage during that time.",,,,,
barbarian,core,Barbarian,Core,20,Primal Champion,"Passive; your Strength and Constitution scores each increase by 4, and their maximums become 25.",,,,,
barbarian,core,Barbarian,Core,3,Primal Knowledge,"Passive; gain proficiency in one additional Barbarian skill. While your Rage is active, when you make an ability check using Acrobatics, Intimidation, Perception, Stealth, or Survival, you can treat it as a Strength check (using your Strength modifier) instead of its normal ability.",,,,,
barbarian,core,Barbarian,Core,4,Ability Score Improvement,"Passive; you gain the Ability Score Improvement feat, or another feat you qualify for. You gain this feature again at Barbarian levels 8, 12, and 16.",,,,,
barbarian,core,Barbarian,Core,5,Extra Attack,"Passive; when you take the Attack action on your turn, you can make two attacks instead of one.",,,,,
barbarian,core,Barbarian,Core,5,Fast Movement,"Passive; while you aren’t wearing Heavy Armor, your Speed increases by 10 feet.",,,,,
barbarian,core,Barbarian,Core,7,Feral Instinct,Passive; you have Advantage on Initiative rolls.,,,,,
barbarian,core,Barbarian,Core,7,Instinctive Pounce,"No extra action; when you enter your Rage (as part of the same Bonus Action), you can move up to half your Speed immediately.",,,,,
barbarian,core,Barbarian,Core,9,Brutal Strike,"Trigger: on your turn, after you choose Reckless Attack, you may forgo Advantage on one Strength-based attack roll (the roll must not have Disadvantage). If that attack hits, it deals +1d10 extra damage of the same type and you apply one Brutal Strike effect: (1) Forceful Blow—push the target 15 ft straight away, then you may move up to half your Speed straight toward it without provoking Opportunity Attacks; or (2) Hamstring Blow—reduce the target’s Speed by 15 ft until the start of your next turn (a creature can be affected by only one Hamstring at a time).",,,,,
barbarian,path_of_the_berserker,Barbarian,Path of the Berserker,10,Retaliation,Reaction; trigger: you take damage from a creature within 5 ft. Effect: make one melee attack against that creature (weapon or Unarmed Strike).,,,,,
barbarian,path_of_the_berserker,Barbarian,Path of the Berserker,14,Intimidating Presence,"Bonus Action; 30 ft emanation; choose creatures in the area. Each chosen creature makes a Wisdom saving throw (DC = 8 + your Strength modifier + Proficiency Bonus). On a fail: Frightened for 1 minute; it repeats the saving throw at the end of each of its turns, ending on a success. Uses: 1 per Long Rest, but after using it you can restore your use by expending 1 Rage use (no action required).",,,,str,8_plus_pb_plus_ability_mod
barbarian,path_of_the_berserker,Barbarian,Path of the Berserker,3,Frenzy,"Trigger: while your Rage is active, if you use Reckless Attack, you deal extra damage to the first target you hit on your turn with a Strength-based attack. Extra damage = roll a number of d6 equal to your Rage Damage bonus; damage type matches the weapon or Unarmed Strike.",,,,,
barbarian,path_of_the_berserker,Barbarian,Path of the Berserker,6,Mindless Rage,"Passive; while your Rage is active, you are immune to the Charmed and Frightened conditions. If you are Charmed or Frightened when you enter Rage, that condition ends on you immediately.",,,,,
barbarian,path_of_the_wild_heart,Barbarian,Path of the Wild Heart,10,Nature Speaker,"Passive; you can cast Commune with Nature, but only as a ritual. Wisdom is your spellcasting ability for it.",,,,,
